id,onair
15896822,1
4836957,0
13355982,1
13472704,1
17430865,0
16374418,1
17488553,0
12296555,1
14108797,1
16446105,1
735298,1
13712199,1
5344655,1
14912894,0
13857967,1
14541148,1
14296637,1
13844847,0
6222799,1
15421169,0
1765414,0
6290335,0
13577025,1
16716104,0
7283027,1
16185476,0
15926622,1
10085459,0
16048507,1
14527936,1
6179409,1
9020269,1
16868346,0
6745039,1
5483827,1
12250201,1
17235188,0
375799,1
10898495,1
10953690,1
7327883,1
14894399,1
14535520,0
1530163,1
16909573,1
13850199,1
16389763,1
16952526,1
7515814,1
14306960,0
1715697,0
4472617,0
14411906,1
9964915,1
10240132,1
6312587,1
9851854,1
15095092,1
16668404,1
12081174,1
5902097,0
11289582,1
5135737,1
13131313,1
6840639,1
2499857,1
11150682,1
15230812,0
1197908,0
6620809,0
17528796,0
13384032,0
5796403,1
17434317,1
14398783,1
14976692,1
3292514,0
14171678,0
13894873,1
15351417,0
12105029,1
5536091,1
10794498,0
5290274,0
13417554,1
16170253,1
13268203,0
11698673,1
17503711,0
9339731,1
5800803,1
3798279,1
13666503,1
15764695,0
15232397,1
4363188,1
4419140,0
16040997,1
10264701,1
8167611,1
13672765,1
16819140,1
4501112,1
3059848,1
13021521,0
13268400,1
16021029,1
16167755,1
6995759,0
6340404,0
3981658,1
9225662,1
2284438,0
17455681,0
5429009,1
7812336,1
1262205,1
13083241,1
11514072,1
9417632,1
6392890,1
13612722,1
637508,1
15449102,1
5356912,0
11073476,1
7730826,0
17275703,0
3263103,1
1953238,1
4320006,0
8388331,1
6945721,1
11009717,1
16645509,0
17322957,1
9696223,1
3603952,1
9564342,0
782346,1
15330979,0
6443494,0
13062515,0
9968347,1
13885996,0
7000404,1
14145769,0
12967298,0
11653764,1
7458169,1
6407792,1
3636319,1
17024399,1
14181000,1
5745424,1
2336771,1
11665612,0
3123162,1
14348532,0
13190645,1
14393265,0
782322,1
13476000,0
15544357,1
11114805,1
8882332,1
4036141,1
17042402,0
15171787,1
15172609,1
13888104,1
3766472,0
14914183,1
5498948,1
9922797,1
617242,0
16082803,0
4023781,1
12280058,0
2580200,0
8949661,1
9525571,1
4019014,1
5460485,0
12144478,1
661917,1
15158420,0
14895968,0
7031432,1
5589592,1
14372315,1
17123043,0
17253517,0
12534226,1
11093420,1
3097560,1
11353683,1
7028582,1
16200922,1
13187256,1
6042456,1
8663617,1
13272653,1
10822914,1
10953949,1
16982863,0
3875430,1
15718868,1
17375650,1
10952994,1
8081184,0
754867,1
3217809,1
5479872,1
10820812,1
6101282,1
15014489,0
17503805,1
4502201,1
1904917,0
17346840,1
8587528,1
16067390,0
2032290,1
13304296,0
16319606,1
7416507,1
14483521,1
5712675,0
13430390,1
13955343,1
8319203,1
12512426,1
3074800,1
17491889,1
15130025,1
12439357,1
7043527,0
10673656,0
16731086,1
4662316,1
6867451,1
9263269,0
4356007,1
6605941,1
13553007,0
17353454,1
15278535,1
5817317,0
6735259,0
14991542,1
9488185,0
2476333,1
8337869,1
13552086,0
1406006,0
13553348,0
16128331,0
13989731,0
16819545,1
5074946,0
1231996,1
414862,0
13404033,1
12485566,0
16804739,0
2523788,0
6849065,0
9071230,0
9731112,0
13266670,0
15626548,0
3697446,1
14116521,0
6656775,0
16169887,0
5792207,1
15710625,0
9094012,0
16991832,0
13862453,0
16376358,0
13913318,0
7491348,0
16533385,0
16474244,1
10108732,0
14311335,0
14070767,0
15217173,0
17444868,0
5910748,0
13511353,0
4458068,0
13873467,1
11150252,0
8922017,0
9183177,0
8084116,0
14689006,1
10494421,0
12196699,0
13501650,1
15471265,1
487783,0
8651444,1
4984252,0
13502656,0
5187349,0
14354497,0
17040543,0
1836056,1
17040354,0
14418818,0
2714787,0
16759658,0
14518095,0
7087470,0
14378364,0
1003867,0
14404694,0
13214880,1
15423522,0
14783790,1
454289,0
4961809,1
16858452,0
13273922,0
16191271,0
2669410,0
16110125,0
10590446,0
10991861,0
10907577,0
3229959,0
17095543,1
13314657,0
2805238,0
15451071,0
16319566,0
509299,0
17489517,0
17267451,0
14427919,0
14351852,0
14905687,0
13932151,0
1161502,0
6281591,0
14541459,0
15191655,0
14619127,0
4820808,0
4365532,0
13035289,0
374356,0
14965277,1
56784,0
14146496,0
12174586,1
7687524,0
16365923,0
6010752,1
13519224,1
13806992,1
16971645,0
11117091,0
6801156,0
17549511,0
15022955,0
12313396,0
15832584,0
12825208,0
16498235,0
16920633,0
15565365,0
9889803,0
15726900,0
7005720,0
15939050,0
12277144,0
14385191,0
1560945,0
4493827,0
910596,0
6672273,1
17164354,0
16115614,0
14551908,1
15466792,1
7487330,0
10628833,0
624672,1
12893666,0
5462640,0
10629182,0
17462127,0
11157906,0
410018,0
16649841,0
8280692,0
14048438,0
8795,0
4742500,0
14179698,0
375403,0
15738903,1
11297033,1
15753757,0
15091111,1
15662433,0
15077611,0
15732994,0
16922223,0
14706323,0
16568193,0
16935695,0
5650440,1
9265497,0
6581705,1
15892156,0
11300565,1
9074177,1
15163085,0
7739250,1
15888471,0
12476803,0
16656490,0
16169763,0
15495715,0
10968810,0
14047647,0
13904572,0
6587893,0
14023487,0
11601770,0
924891,0
11711399,0
1618887,1
4109441,0
13661058,0
11495879,0
9988623,0
15251752,0
14335002,0
14319957,1
6193628,0
13029202,0
16680270,0
15763114,0
475087,1
4593321,0
14190871,1
5016913,1
6297494,0
16682488,0
6983251,1
16674065,0
7783062,1
15241694,0
10339123,0
12182631,0
8164389,0
17471812,0
5675639,0
9085336,1
16687804,0
17344420,0
15771622,0
8824957,0
16296476,0
17265195,1
12502959,0
15642320,0
14725137,0
14182693,0
15653953,0
13985868,0
13956151,0
15954078,1
709990,0
1103410,0
15266193,0
16190960,0
13619311,1
14394072,0
13278373,0
3920679,0
2347963,0
5416560,0
15530250,1
15970674,0
10062232,0
6664692,1
16495289,0
5084009,0
16223099,0
101841,0
454009,0
11835521,0
17535873,0
16366405,0
13744968,1
16366442,0
3773360,1
9409799,0
507203,1
7966763,1
6526558,1
13370963,0
17189984,0
9423660,1
17265598,1
13880344,0
12035832,0
11921165,0
1566565,0
14635528,0
14676516,0
6028334,1
392153,0
13740525,0
13105997,0
13107158,0
15988461,1
16905519,0
1758791,0
11138061,0
389364,0
7208317,0
3797119,1
389185,0
10300175,0
16912337,0
15598620,0
15199081,0
7071630,1
13455638,1
9971348,0
13494401,1
13755190,0
14428088,1
10740459,1
11919910,0
15066428,1
7332769,0
15851657,0
13673025,0
8904058,0
1833509,0
4542137,0
13883200,0
14533460,0
15979797,0
3262803,0
6550647,1
15414971,0
6572451,0
4572017,0
12698137,0
10732756,0
12829758,0
901300,0
587099,0
4047214,1
3916076,1
14530607,0
16249592,0
15594127,0
17281322,0
13812985,0
11923942,0
4303683,0
10202759,0
14504813,0
17538249,0
17278342,0
17146360,0
10956464,1
10069006,0
7971809,0
14370098,0
4736185,0
15310604,0
1284765,0
5719053,0
17217160,0
17012527,0
15175525,0
15702188,0
14107042,1
15565495,0
5866164,0
5079697,0
16924771,0
17138230,0
14910949,1
10846287,0
17252651,1
2419545,0
5303122,0
10584944,0
38151,0
9993644,0
10883958,0
15732976,0
2456463,0
11091919,0
11288210,0
461473,0
10583308,0
2456256,0
15039044,0
15299328,0
9008703,0
6123857,0
15954113,0
6255603,0
17265507,0
13969605,0
1545267,0
1304421,0
17207886,0
13985674,0
12019383,1
90522,0
11886628,0
15426596,0
13984657,0
15164140,0
14246168,0
10967987,0
16077598,0
13742400,0
14504570,0
12275823,0
13598348,0
873354,0
2182759,0
1003956,0
17379098,0
9784807,0
740645,0
11881715,0
5846903,1
10128245,0
8996969,0
6933655,1
14632431,0
8839414,1
6374336,0
13189903,1
6766330,1
10698388,0
7069755,1
81015,0
15940714,0
473937,0
7506390,0
12139941,0
4011657,0
5975492,0
3616180,0
5320950,1
15282346,0
207912,0
15150101,1
8947539,0
11940291,0
13706833,0
15391827,0
2735296,0
12921052,0
15409871,0
16851644,0
16986018,0
10029908,0
13050352,0
5841205,0
14582876,0
2415020,1
15669221,0
15669169,0
14620552,0
14320688,0
7498666,0
1643082,1
9870512,0
364017,0
200713,1
69212,0
13831730,0
13308188,1
15797454,0
6027695,0
9898242,0
15664629,0
14479374,1
5274595,0
16451089,1
17237012,0
4916114,1
16974654,0
11600052,0
11712170,0
3734796,0
16973740,0
9108443,0
16972734,0
3855457,0
15411682,0
13969729,0
11466327,0
16053214,0
16315200,0
12906837,0
14611620,0
4124165,1
7793368,0
17230572,0
13822107,0
6998670,1
13034630,0
9755305,0
7939153,0
16046569,0
13444362,0
11328786,0
17485697,0
17226911,0
9885757,0
15522590,0
13844392,0
17356637,0
11019165,0
6487474,0
579283,0
10670121,1
16717661,0
16699080,0
4117749,0
15278828,0
8441801,0
15932270,0
11848112,0
8834207,0
14863464,0
15124437,0
12503812,0
13814504,0
16034604,0
13289612,0
10012793,0
14906835,0
4317691,0
9008417,0
13025683,0
10534260,0
572538,0
16168225,0
15643750,0
422748,0
4095433,0
11710854,1
15168227,0
8418638,0
1615727,0
225676,0
16819046,1
16557091,0
17211785,0
5152043,0
10525532,0
14325492,0
1348010,0
14052170,0
15373142,0
17338545,0
15163517,0
9901687,0
2262999,0
8030068,0
13272397,0
9863653,0
8420459,0
3440337,0
17415974,0
4881210,0
14448808,0
11956347,0
17461569,0
10907174,0
9376347,0
15733002,0
16987583,0
13920050,0
16278645,0
10380746,0
17458226,0
14311244,0
9199333,0
15885509,0
14289058,0
17108695,0
5134081,0
14639787,0
17190248,0
14312130,0
11030287,0
14574037,0
17501162,0
